"<span class=thead>Предмет</span>";"<span class=thead>Задание на </span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";" пока что ничего"
"Русский ";"рефераты + принести зар лит(разбор персонажей)"
"Химия ";"№203-210 "
"Английский ";"готовиться к кр по первым 2м модулям"
"Алгебра ";"ВРЗА 3 тема №200, 204, 214, 216, 220, 226, 230, 240, 242, 246"
"Геометрия ";"готовиться к зачету"
"Физика ";"не задано"
"Всемирная история";" "
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинская литература";" досдавать стихи"
"Мировая литература";" "
"Физика ";" "
"История Украины";" "
"Информатика (1)";" Делать C#"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";" "
"География ";" Готовить презентации далее по плану"
"Химия ";" "
"Физика ";" "
"Информатика (2)";"  Делать C#"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";" "
"Защита Отечества";"Готовиться к открытому уроку"
"Украинская литература";" "
"Украинский ";" "
"Биология ";" Читать $26-28;по $26 готовиться писать диктант"
"Физика ";" "
"Инф.технологии ";" Делать JavaScript"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";" "
"Экономика ";" Написать эссе на тему:""Взаимосвязь политики и экономики"""
"Биология ";" "
"Худ.культура ";" Готовить доклады далее по плану"
"Алгебра ";" "
"Английский ";" "
