"<span class=thead>Предмет</span>";"<span class=thead>Задание на 14-18 октября</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";"отдельного задания нет"
"Право ";"не задано (была КР)"
"Химия ";"не задано (была ПР)"
"Английский ";"SBP.85 #8,9 and write #10; SBP. 120-121 #1-3,6; WBP.92-93"
"Физика ";"Кирик с. 51 № 6в, с. 52 № 5д, с. 53 № 7,8д, 3в"
"Алгебра ";"учебник с. 283 № 1(3,5,6), 2(2,4), 4, 5"
"Геометрия ";"опорная задача, которую писали в классе (кто не понял - она в учебнике на с.53)<br />уч. № 130, 135, 139 и готовиться к саамостоятельной"
"Русский ";""
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинский ";"впр. 35, 42 устно"
"Мировая литература";""
"Физика ";""
"История Украины";""
"Всемирная история";""
"Информатика (1)";"успевающим позволено отдохновение"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";""
"География ";"усвоять конспект и делать презентации, кому надо"
"Химия ";""
"Физика ";""
"Информатика (2)";"работающим быстро релаксировать позволено"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";""
"Допризывная подг. юношей";"зубрить звания и готовиться к практическим занятиям"
"Воен.-мед. подготовка";"см. выше"
"Укр. лит.";"сочинение ""Пошук ідеалів і проблема вибору у романі Панаса Мирного та Івана Білика ""Хіба ревуть воли, як ясла повні?"""""
"Биология ";"готовить тетради к проверке"
"Физика ";""
"Инф. технологии";"неуспевающим догонять план"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Уроков нет";"Ибо ДЕНЬ ЛИЦЕЯ."
