<span class=thead>Предмет</span>;<span class=thead>Задание на 19-23 января 2015</span>
<span class=ttl1>ПОНЕДЕЛЬНИК</span>;<hr />
Физика ;не задано
Экология;не задано
Укр. лит.;читати літературу
Химия ;не задано
Алгебра ;не задано
Геометрия ;сборник Литвиненко № 288-290а,б, 293а, 298а, 300б, 301а, 304-306а, 308а, 309а, 313а, 317а, 319а,сделать все в тетради
Русский ;не задано
<span class=ttl1>ВТОРНИК</span>;<hr />
Человек и мир;не задано
Всемирная История;не задано
Физкультура;не задано
Химия ;§19 №158-167, §20 до химических свойств
Английский ;SBP. 54 слова, текст
Мир.лит.;реферат про какого-то из поэтов Серебрянного века (досдать до конца февраля)
Физика ;не будет
<span class=ttl1>СРЕДА</span>;<hr />
Биология ;зарисовать в тетрадь таблицы на с. 105-106, реферат на 4 страницы по теме «Мутагенные факторы» (см. § 15 в учебнике)
История Украины;не задано
Алгебра ;Литвиненко №727(а), 739(а), 752(а), 763(а), 685(а), 699(а), 703(а)
Инф. технологии;не задано
Информатика ;не задано
<span class=ttl1>ЧЕТВЕРГ</span>;<hr />
Физика ;Гельфгат 8.14-8.17, 8.19,  8.20 Гончаренко §52, 53 Ландсберг том 3, глава 9
Алгебра ;№728а, 732а, 735а, 758а, 759а, 762а
Биология ;"Реферат ""Основные направления современной биотехнологии, трансгенные и химерные организмы"" написать до 16 февраля"
Укр. язык;не задано
Геометрия ;№163,164,169 
Физический практикум;не будет
<span class=ttl1>ПЯТНИЦА</span>;<hr />
Физика ;Гельфгат №8.13, 8.24, 8.25, 8.38, 8.44
Художественная культура;не задано
Основы экономики;не задано
Укр.лит. ;готувати поетів за кордоном
Защита Отечества;не задано
Английский ;WBp 68, SBp 54 ex. 2. p121 ex. 9 
