"№ ";"Звонки ";"ПОНЕДЕЛЬНИК ";"к. ";"ВТОРНИК ";"к. ";"СРЕДА ";"к. ";"ЧЕТВЕРГ ";"к. ";"ПЯТНИЦА ";"к. "
"0 ";"8.10-8.55 ";"Алгебра ";"7 ";"История Украины";"6 ";"Биология ";"3 ";"Физика ";"16 ";"Физика ";"16 "
"1 ";"9.00-9.45 ";"Алгебра ";"7 ";"История Украины";"6 ";"Всемирная история";"27 ";"Физика ";"16 ";"Физика ";"16 "
"2 ";"9.50-10.35 ";"Геометрия ";"7 ";"Физкультура ";"с/з ";"Алгебра ";"7 ";"Алгебра ";"7 ";"Основы экономики";"3 "
"3 ";"10.45-11.30 ";"Украинская литература";"20 ";"Физкультура ";"с/з ";"Алгебра ";"7 ";"Биология ";"3 ";"Украинская литература";"7 "
"4 ";"11.55-12.40 ";"Химия ";"10 ";"Мировая литература";"30 ";"ИКТ ";"25 ";"Украинский язык";"24 ";"Защита Отечества";"28 "
"5 ";"12.50-13.35 ";"Физика ";"16 ";"Физика ";"16 ";"Информатика ";"25 ";"Геометрия ";"7 ";"Защита Отечества";"28 "
"6 ";"13.45-14.30 ";"Астрономия ";"16 ";"Английский язык";"27 ";"Информатика ";"25 ";"Геометрия ";"7 ";"Английский ";"27 "
"7 ";"14.35-15.20 ";"Русский язык";"30 ";"Химия ";"10 ";"Информатика ";"25 ";"Физический практикум";"16 ";"Английский ";"27 "
"8 ";"15.25-16.10 ";"Классный час";"7 ";"   ";"   ";"Информатика ";"25 ";" ";" ";" ";" "
