"<span class=thead>Предмет</span>";"<span class=thead>Задание на </span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";"Пока что ничего"
"Русский ";"Досдать тетради с цитатами"
"Химия ";"Для Li,Na,K,Rb,Cs,Fr Записать в тетрадь 2 таблицы:""Строение атома"";""Физические свойства"";А также Учебник $20 №190-192(письменно)"
"Английский ";" "
"Алгебра ";"ВРЗА гл.3 №117,118,131,134,136,139"
"Геометрия ";"Лесенки 2 вариант с.68 №265-267,279"
"Физика ";"Не задано,была КР"
"Всемирная история";"Конспектировать в тетрадь ""Мюнхенский договор""Читать $22,23,24"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинская литература";" "
"Мировая литература";"Готовить разбор персонажей по роману гоголя ""Вишневый сад"""
"Физика ";" "
"История Украины";" "
"Информатика (1)";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";" "
"География ";"Готовить презентации дале по плану"
"Химия ";" "
"Физика ";" "
"Информатика (2)";" "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";" "
"Защита Отечества";" "
"Украинская литература";" "
"Украинский ";" "
"Биология ";" "
"Физика ";" "
"Инф.технологии ";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";" "
"Экономика ";" "
"Биология ";" "
"Худ.культура ";"Готовить доклады далее по плану"
"Алгебра ";" "
"Английский ";" "
