"<span class=thead>Предмет</span>";"<span class=thead>Задание на 20-24 января</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";"не будет покамест"
"Русский ";"готовить материалы к теме"
"Химия ";"§ 4,5, № 45-52"
"Английский ";"SBp 6 выучить первые 2 абзаца и повторить грамматику"
"Физика ";"конспект, Мякишев § 37-40;<br />Рымкевич №694, 697, 698, Гельфгат №7.28, 7.31"
"Алгебра ";"законспектировать решение tg x=a и ctg x=а(уч. с.336)<br />с.340 № 2-4"
"Геометрия ";"усвоить док-во признака перпендикулярности прямой и плоскости;<br />учебник № 305, 324, 326"
"История Украины";"не задано, ибо еще не было"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Укр. яз.";"впр. 125-127"
"Мировая литература";"читать ""Анну Каренину"" (а также очень желательно ""Войну и мир"""
"Физика ";"Гельфгат № 7.21, 7.32; Рымкевич № 699-701"
"История Украины";"покамест отменяется"
"Всемирная история";"не задано, ибо еще не было"
"Информатика (1)";"это уже ваше личное дело"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";"с. 340 №5,6,7,10; самостоятельная работа"
"География ";"не задано"
"Химия ";"учебник § 5,6; №54-57"
"Физика ";"Рымкевич №702,703; Гольдфарб №15.9,15.14"
"Информатика (2)";"Internet is NYPA"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";"учебник №330,327,328,335 "
"Укр.яз. ";"§ 9; впр. 141 (5 речень на вибір)"
"Биология ";"учебник. с.142, зарисовать схему/рисунок  и описание к нему;<br />с.145 - зарисовать схему/рисунок;<br />конспект фаз митоза."
"Физика ";"пар.40;Гельфгат №8.19;Рымкевич №713,716;Савченко №6.2.6(д,е) "
"Инф.технологии ";"как всегда"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";"официально ДЗ нет"
"Биология ";"пар.24;готовиться к диктанту по органеллам"
"Экономика ";"законспектировать полную классификацию потребностей (ГуглЪ в помощь)"
"География ";" "
"Алгебра ";"Нелин (учебник) с. 340 №12(3,4),13(2,4); с. 351№1(1),2(1),3(1),4(1)"
"Английский ";"SBP.7; miniworkbook"
