"<span class=thead>Предмет</span>";"<span class=thead>Задание на 20-24 октября 2014</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";"учебник № 13.30, 15.4(6), 15.5"
"Геометрия ";"<a href=""https://dl.dropboxusercontent.com/u/26691654/ForDZ/DSR_Geom_na20141020.jpg"">домашняя самостоятельная работа</a> (первая группа (до Ле включительно) - таблица 11.4 № 1,3,5; таблица 11.5 № 2,4,6; вторая - соответственно наоборот)"
"Укр. лит.";"конспектировать биографию Юрия Яновского, читать три новеллы из романа ""Вершники"" — ""Подвійне коло"", ""Дитинство"", ""Шаланда в морі"""
"Химия ";"не задано"
"Физика ";"не задано"
"Астрономия ";"конспект "
"Русский ";"повторить однородность: учебник с.107 упр. 101, 102"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"История Украины";"не задано"
"Мировая литература";"готовиться работать в классе по Куприну"
"Физика ";" "
"Английский ";"SBP. 113-114 #1-4, WBP. 35; SBP. 36"
"Химия ";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"§ 7-9 читать, по этим параграфам готовиться к диктанту; с. 50 зарисовать табл. № 9"
"Всемирная история";"конспектировать создание и структуру ООН; готовиться к тематической контрольной по Второй мировой войне"
"Алгебра ";" "
"Инф. технологии";"не будет"
"Информатика ";" "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Укр. язык";"дописать пересказ с творческим заданием"
"Геометрия ";" "
"Физический практикум";"готовиться к лабораторным работам"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";"конспект "
"Укр. лит.";" "
"Защита Отечества";"завести тетрадь с конспектом всем, кто еще этого не сделал"
"Английский ";" "
