"<span class=thead>Предмет</span>";"<span class=thead>Задание на 19-23 мая</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";" Пока что ничего"
"Мировая литература";" Тем,кто не делал разбор персонажей написать сочинение на тему:""""Вишневый сад""-реквием по уходящему дворянству"""
"Химия ";" $23;№226-228,238"
"Английский ";" WB p.19 ex.5 learn by hard;WB p.20-21(письменно)"
"Алгебра ";" ВРЗА гл.3 №324,346,388;исследовать на наличие асимптот и построить графики следующих функций: y=(x^2+3*x)/(x-1),y=(x^3)/(x^2+1);подготовиться к КР"
"Геометрия ";" Ничего не задано(была КР)"
"Физика ";" Конспект;Mякишев $75-76;Гельфгат №10.29,11.8,11.12,11.15,11.11 "
"Всемирная история";" Законспектировать ""Меморандум Танаки"",хронологическую таблицу на тему:""Экспансия Японии"""
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинская литература";" Вспомнить кто как сидел в четверг и сделать задание:1 ряд :Асоціативне мислення.Які асоціації викликає у вас слово ""життя"".Зробіть асоціативну схему.2 ряд:За допомогою тлумачного словника знайдіть значення слова ""життя"".Складіть схему.3 ряд:Креативне мислення.Моє життя.(Письменно,на двойных листочках)"
"Мировая литература";"  Тем,кто не делал разбор персонажей написать сочинение на тему:""""Вишневый сад""-реквием по уходящему дворянству"""
"Физика ";" Гельфгат №14.38, 14.39, 14.50,Рымкевич №894, 898  Готовиться к ЛР"
"История Украины";" Готовиться к написанию двух контрольных:по Всемирной истории и по Истории Украины."
"Информатика (1)";" Делать C#"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";" Готовиться к зачету;Для подготовки к зачету рекомендуется решить следующие задания:Нелин с.149 №5,11;с.154 №2;с.181 №16,17;с.388 №1(3);с.389 №12(3),13(3);с.391 №28(1,3);с.278 №11(4)"
"География ";" Готовить презентации далее по плану"
"Химия ";" Готовиться к Практической работе"
"Физика ";" Оформить ЛР"
"Информатика (2)";"  Делать C#"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";" "
"Защита Отечества";"Учить конспект"
"Украинская литература";" Готовиться к КР"
"Украинский ";" Вспомнить кто как сидел в четверг и сделать:1  ряд:впр.322;2 ряд:впр.324(1);3 ряд:впр.324(2);4 ряд:впр.324(3);5-6 ряд:324(2);(Письменно,на двойных листочках)"
"Биология ";"писать реферат на тему:""Возникновение жизни на Земле""(не всем)"
"Физика ";" "
"Инф.технологии ";"Делать JavaScript"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";" "
"Экономика ";" На двойных листочках сделать КР"
"Биология ";" "
"Худ.культура ";" Готовить доклады далее по плану"
"Алгебра ";" "
"Английский ";"  WB p.19 ex.5 learn by hard"
