"<span class=thead>Предмет</span>";"<span class=thead>Задание на 13-17 января</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";"видимо, не будет"
"Русский язык";"не задано"
"Химия ";"не задано"
"Английский ";"не задано"
"Физика ";"не задано"
"Алгебра ";"не задано"
"Геометрия ";"не задано"
"История Украины";"не задано"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Укр. яз.";"не задано"
"Мировая литература";"читать ""Анну Каренину"" (желательно также и ""Войну и мир"")"
"Физика ";""
"История Украины";""
"Всемирная история";"не задано"
"Информатика (1)";"не задано"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Геометрия ";""
"География ";"делать презентации, кому пришел черед"
"Химия ";""
"Физика ";""
"Информатика (2)";"не задано"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";""
"Защита Отечества";""
"Укр. лит.";"читать произведения"
"Биология ";"синяя тетрадь с. 28-48"
"Физика ";""
"Инф.технологии ";"не задано"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";"формально не задано"
"Биология ";"синяя тетрадь с. 28-48"
"Экономика ";"не задано"
"Художественная культура";"не задано"
"Алгебра ";""
"Английский ";""
