"<span class=thead>Предмет</span>";"<span class=thead>Задание на </span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";" пока что ничего"
"Русский ";"рефераты + принести зар лит(разбор персонажей)"
"Химия ";"№203-210 "
"Английский ";"готовиться к кр по первым 2м модулям;сделать WB до с.23"
"Алгебра ";"ВРЗА 3 тема №200, 204, 214, 216, 220, 226, 230, 240, 242, 246"
"Геометрия ";"готовиться к зачету"
"Физика ";"не задано"
"Всемирная история";" "
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинская литература";" досдавать стихи"
"Мировая литература";" Готовить разбор персонажей"
"Физика ";"Конспект;Мякишев $80; Гельфгат № 14.27, 14.28, 14.31-14.33"
"История Украины";" культура НЭПа(?)"
"Информатика (1)";" Делать C#"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";" Готовиться к зачету по геометрии"
"География ";" Готовить презентации далее по плану"
"Химия ";" $22 №213,214,217,218,222"
"Физика ";" Конспект;Мякишев $80, упр. 12 стр. 200 №7,9, Гельфгат №14.34, 14.50, 14.51"
"Информатика (2)";"  Делать C#"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";" Готовитья к зачету"
"Защита Отечества";"Готовиться к открытому уроку"
"Украинская литература";" "
"Украинский ";" "
"Биология ";" Читать $26-28;по $26 готовиться писать диктант"
"Физика ";" "
"Инф.технологии ";" Делать JavaScript"
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
" ";" "
