"<span class=thead>Предмет</span>";"<span class=thead>Задание на 23-27 февраля 2015</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физика ";"Гончаренко  §58-59, упр. 15 с.156 №1-3, Гельфгат № 7.24, 7.27"
"Экология ";" "
"Укр. лит.";"напамять один з його віршів :""Я"" або ""Лебеді материнства"""
"Химия ";"Березан №27.9, 27.10"
"Алгебра ";"ДСР "
"Геометрия ";"не задано"
"Русский язык";"Упр. 113, 114"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Человек и мир";"охарактеризовать тоталитаризм наподобие того, как охарактеризовали демократический режим в классе"
"Всемирная История";"охарактеризовать Италию по плану"
"Физкультура ";"не задано"
"Химия ";" "
"Английский ";"WB до 65,SB p.60"
"Мир.лит. ";"сдать ""Незнакомку"", еще один стих писателя Серебряного века и реферат, кому надо"
"Физика ";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";" "
"История Украины";"не задано"
"Алгебра ";" "
"Информатика ";"делать программы далее по плану"
"Инф. технологии";"не задано"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Укр. язык";"не задано"
"Геометрия ";"не задано"
"Физический практикум";"готовиться к сдаче работ (вторая группа)"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Алгебра ";" "
"Художественная культура";"готовить доклады"
"Основы экономики";"не задано"
"Укр.лит. ";" "
"Защита Отечества";"не задано"
"Физика ";" "
"Английский ";" "
