"<span class=thead>Предмет</span>";"<span class=thead>Задание на 15--19 декабря 2014</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";"Домашняя самостоятельная работа на двойных листочках"
"Геометрия ";"повторить формулы с векторами и их координатами"
"Укр. лит.";"написати твір на одну з тем:""Трагедія роду Половців (за романом Ю.Яновського ""Вершники"")"" або ""Лютували шаблі, і коні бігали без вершників"""
"Химия ";"Ланцюжок  перетворень, записаний у класі, Березан №25.2, 25.3"
"Физика ";"Гельфгат №6.36-6.40"
"Астрономия ";"готовить к сдаче рефераты, учить конспект"
"Русский ";"Подобрать предложения к каждому пункту, написать к ним схемы; учебник упр. 111"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"История Украины";"не задано (была контрольная)"
"Мировая литература";"письменно разбирать первые два сонета из ""Сонетов к Орфею"" по плану, записанному в классе"
"Физика ";" Подготовиться к тесту,Гельфгат-11 №6.41,6.42,6.53,6.55-6.58"
"Английский ";" текст на ст.50 в СБ выучить(exciting and annoying at the same time),СБ с.52,ВБ с.52,готовиться к работе по грамматике"
"Химия ";" Березан №25.12,подготовиться к кр по аренам"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"готовиться к диктанту, сдавать долги"
"Всемирная история";"конспектировать президентство де Голля во Франции"
"Алгебра ";"мерзляк номіровський,номери 22.27(1),23.16(1,3),23.18(1,7),23.20,підготуватися до самостійної роботи"
"Инф. технологии";"не будет"
"Информатика ";"готовиться к контрольной работе"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" учить конспект+на нулевом уроке будет физпрактикум,готовить по нему конспекты"
"Алгебра ";" мерзляк,номіровський номеои 23.19(1,3),23.21(2,4),підготуватися до контрольної роботи"
"Биология ";"готовиться к диктанту по всему пройденному материалу; сдать зеленые тетради"
"Укр. язык";"не задано"
"Геометрия ";" підручник Голобородько,номери 135,139,142,144"
"Физический практикум";"готовиться к сдаче лабораторных работ (2 группа)"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";"готовиться к контрольной работе"
"Укр.лит. ";" готовиться к кр"
"Защита Отечества";" конспект"
"Английский ";" WB сделать все до с.55"
