"<span class=thead>Предмет</span>";"<span class=thead>Задание на 23-27 декабря</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";"сдача лабораторных"
"Право ";"повторить пар. 12, 18, 20-23, 25"
"Химия ";"не задано"
"Английский ";"закончить 12 часть"
"Физика ";"конспект;Кирик с75 №1,3(в),с72 №5,7(д),с73 №6(в) "
"Алгебра ";"не задано"
"Геометрия ";"готовиться к контрольной по паралельности плоскостей, паралельному проектированию;лесенки с 98 кр№4"
"Русский ";"не задано"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Укр. яз.";"не задано"
"Мировая литература";"видимо, то же, что и раньше (Лужин и Свидригайлов)"
"Физика ";"зачет в виде контрольной и теста(свойства жидкостей,твердых тел)"
"История Украины";"не задано"
"Всемирная история";"не задано"
"Информатика (1)";"отдохновенье тем, кто вовремя сдает"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";"зачет "
"География ";"традиционно готовить презентации"
"Химия ";"не задано  "
"Физика ";"не задано"
"Информатика (2)";"кто вовремя делает усие, может спокойно жить"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";"не задано   "
"ДПЮ и воен-мед. подготовка";"не задано"
"Укр. лит.";"досдать хвосты"
"Биология ";"не задано"
"Инф.технологии ";"усие сдать надобно"
"Физика ";"готовить к сдаче практикум"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";"формально нет ДЗ"
"Биология ";"              "
"Экономика ";"не задано"
"География ";"             "
"Алгебра ";"            "
"Английский ";"              "
