"<span class=thead>Предмет</span>";"<span class=thead>Задание на 6-10 апреля 2015</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физика ";"Гельфгат-11 №11.9-11.12"
"Экология ";"читать конспект"
"Укр. лит.";"сдавать стихи"
"Химия ";" §28 №245,249,251"
"Алгебра ";"п.29 №12,15,19,п.30 №1-6,подготовиться к самостоятельной работе,решить уравнение PI/24*(6x+1)=1/2arctg1+arccos(-1/2)-arcsin((2^0.5)/2)"
"Геометрия ";"по учебнику №700,685,698"
"Русский язык";"вместо русского будем писать ""Левеня"""
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Человек и мир";"выписать производительные силы и производственные отношения,готовиться к контрольной работе(социум,социальная мобильность,теория социальной стратификации,политические режимы)"
"Всемирная История";"конспектировать японское экономическое чудо"
"Физкультура ";" не задано"
"Химия ";"учить формулы сахаридов "
"Английский ";" WB p.74-77"
"Мир.лит. ";" читать Комю ""Посторонний"""
"Физика ";" конспект;Гельфгат № 11.13-11.15, 14.15, 14.16"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";" "
"История Украины";" "
"Алгебра ";" "
"Информатика ";" "
"Инф. технологии";" "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Украинский язык";" "
"Геометрия ";" "
"Физический практикум";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Алгебра ";" "
"Художественная культура";" "
"Основы экономики";" "
"Укр.лит. ";" "
"Защита Отечества";" "
"Физика ";" "
"Английский ";" "
