"<span class=thead>Предмет</span>";"<span class=thead>Задание на 9-13 сентября</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr /> "
"Физ.практикум	 ";"пока всего лишь урок физики"
"Право	 ";"нет ДЗ"
"Химия	 ";"заполнить таблицу, розданную на уроке;<br /> учебник пар. 1,2 и № 2, 10 (дорешать)"
"Английский	 ";"SBP. 76-77; WBP. 82-83"
"Физика	 ";"Гельфгат 3.21, Рымкевич №475, 476, 485, 486"
"Алгебра	 ";"Мерзляк в.3 № 70-76(нечетные)"
"Геометрия	 ";"Мерзляк (""лесенки"") с. 66 № 60, 61, 67, 77"
"Русский	 ";"найти украинские аналоги пословицам, записанным в классе (а не перевести дословно!)"
"<span class=ttl1>ВТОРНИК</span>";"<hr /> "
"Украинский	 ";"нет ДЗ"
"Мировая литература	";"написать структуру ""Человеческой комедии"" Бальзака, читать и принести ""Гобсек"""
"Физика	 ";" "
"История Украины	";"написать особенности развития сельского хозяйства в начале XX в. на украинских землях, входивших в состав Российской империи"
"Всемирная история	";"написать особенности экономического развития США, Британии, Франции, Германии, России и Австро-Венгрии по материалам пар. 3,4 (белый, более новый учебник)"
"Информатика (1)	";"готовиться по теории, делать задания, кто не успевает"
"<span class=ttl1>СРЕДА</span>";"<hr /> "
"Алгебра	 ";" "
"География	 ";"нет ДЗ (?)"
"Химия	 ";" "
"Физика	 ";" "
"Информатика (2)	";"готовиться по теории, делать задания, кто не успевает"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr /> "
"Геометрия	 ";" "
"Допризывная подг. юношей";"уразуметь конспект"
"Воен.-мед. подготовка";"видимо, то же самое"
"Укр. лит.";"нет ДЗ"
"Биология	 ";"параграф 1, готовиться к возможному диктанту"
"Физика	 ";" "
"Инф.технологии	 ";"кто не успевает в классе - работать дома."
"<span class=ttl1>ПЯТНИЦА</span>";"<hr /> "
"Физ-ра	 ";"формально ничего"
"Биология	 ";"     "
"Экономика	 ";"делать конспект <a href='https://www.dropbox.com/s/yfylomvg46agxmg/teoria.doc'>по материалам</a>"
"География	 ";" "
"Алгебра	 ";"     "
"Английский	 ";" "
