"<span class=thead>Предмет</span>";"<span class=thead>Задание на 19-23 января 2015</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";"не задано"
"Геометрия ";"сборник Литвиненко № 288-290а,б, 293а, 298а, 300б, 301а, 304-306а, 308а, 309а, 313а, 317а, 319а,сделать все в тетради"
"Укр. лит.";"читати літературу"
"Химия ";"не задано"
"Физика ";"не задано"
"Русский ";"не задано"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Людина і світ";"не задано"
"Всемирная История";"не задано"
"Физика ";" не будет"
"Английский ";"SBP. 54 слова, текст"
"Химия ";" §19 №158-167,§20 до химических свойств"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"зарисовать в тетрадь таблицы на с. 105-106, реферат на 4 страницы по теме «Мутагенные факторы» (см. § 15 в учебнике)"
"Історія України";"не задано"
"Алгебра ";" Литвиненко №727(а),739(а),752(а),763(а),685(а),699(а),703(а)"
"Инф. технологии";"не задано"
"Информатика ";"не задано"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" Гельфгат 8.14-8.17,8.19, 8.20 Гончаренко §52,53Ландсберг том 3, глава 9"
"Алгебра ";" №728а,732а,735а,758а,759а,762а"
"Биология ";" ""Основные направления современной биотехнологии, трансгенные и химерные организмы""-реферат,написать до 16 февраля"
"Укр. язык";"не задано"
"Геометрия ";"№163,164,169 "
"Физический практикум";"не будет"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";"не задано"
"Укр.лит. ";" "
"Защита Отечества";"не задано"
"Английский ";" "
