"<span class=thead>Предмет</span>";"<span class=thead>Задание на 20-24 января</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";" "
"Право ";" "
"Химия ";" "
"Английский ";" "
"Физика ";" "
"Алгебра ";" "
"Геометрия ";" "
"Мировая литература";" "
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Укр. яз.";" "
"Русский ";" "
"Физика ";" "
"История Украины";" "
"Всемирная история";" "
"Информатика (1)";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Геометрия ";" "
"География ";" "
"Химия ";" "
"Физика ";" "
"Информатика (2)";" "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";" "
"Укр. лит.";" "
"Укр.яз. ";" "
"Биология ";"учебник. с.142, зарисовать схему/рисунок  и описание к нему;<br />с.145 - зарисовать схему/рисунок;<br />конспект фаз митоза."
"Алгебра ";" "
"Физика ";" "
"Инф.технологии ";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";"     "
"Биология ";"     "
"Экономика ";" "
"География ";"    "
"Алгебра ";"     "
"Английский ";"     "
