"<span class=thead>Предмет</span>";"<span class=thead>Задание на 1-5 декабря 2014</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";"учебник № 21.24(четные), 21.26(2,4)"
"Геометрия ";"ДСР "
"Укр. лит.";"биография Курбаса, М.Кулиша; анализ ""Мина Мазайло""; диктант по биографиям Вишни и Кулиша"
"Химия ";"готовиться к контрольной работе; Березан № 24.10, 24.13, 24.14"
"Физика ";" "
"Астрономия ";"готовиться к контрольной работе"
"Русский ";"не задано"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Всемирная история";" "
"Мировая литература";" "
"Физика ";" "
"Английский ";"SBP. 48-49 слова, текст, WBP. 48-49"
"Химия ";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";" "
"История Украины";" "
"Алгебра ";" "
"Инф. технологии";"не будет"
"Информатика ";"делать программы далее по плану"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Укр. язык";" "
"Геометрия ";" "
"Физический практикум";"готовиться к сдаче работ (1 группа)"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";"конспект "
"Укр лит";" "
"Защита Отечества";"конспект "
"Английский ";" "
