"<span class=thead>Предмет</span>";"<span class=thead>Задание на 31 марта - 4 апреля</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";"покамест не будет"
"Русский ";"готовить цитаты по теме ""Искусство"""
"Химия ";"учебник § 14; № 137-139"
"Английский ";"SBP. 18-19, SBP. 109 (miniworkbook), WBP. 14-15"
"Алгебра ";"не задано"
"Геометрия ";"готовиться к зачету"
"Физика ";"не задано (была контрольная)"
"Всемирная история";"конспектировать внутреннюю и внешнюю политику республиканского правительства в Испании (1931-1936);<br />в тетради письменно ответить на вопросы №1,5 (с.105 в темных учебниках), предварительно выписав, что такое революция и что такое переворот"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинская литература";"написати твір ""Уславлення мужності та сили людського духу в поезії Лесі Українки"""
"Мировая литература";"далее готовить темы, связанные с ""Портретом Дориана Грея"" Уайльда"
"Физика ";"конспект, Мякишев § 60-62<br />Рымкевич № 830-834"
"История Украины";"читать и кратко конспектировать § 25-27"
"Информатика (1)";"досдавать Паскаль полностью"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";"<b><i>урок был отменен</i></b>"
"География ";"готовить презентации по плну"
"Химия ";"готовиться к контрольной по материалу методички со с. 47 (Карбон и Силиций)"
"Физика ";"Гельфгат № 12.24-12.27, 12.38"
"Информатика (2)";"докончить Паскаль"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";"Мерзляк (""лесенки"") с. 95 № 298, 300, 301"
"Защита Отечества";"не задано"
"Украинская литература";"готовиться к диктанту по биографии и творчеству Леси Украинки"
"Украинский ";"упр. 191, отдельно на листиках написать очерк про любого интересного Вам человека (см. упр. 311)"
"Биология ";"подсчитать количество последовательностей кодонов, которыми можно закодировать белок из аминокислот лиз-гис-сер-гли-тир"
"Физика ";"Мякишев упр. 11 (с. 166) №2,3; Рымкевич № 824, 826, 829"
"Инф.технологии ";"сдавать работы далее по учебнику"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";"не задано"
"Экономика ";"не задано"
"Биология ";" "
"Худ.культура ";"готовить темы далее по плану"
"Алгебра ";"обзавестись <a href='https://dl.dropboxusercontent.com/u/26691654/Uchebniki/merzlyak_ta_in_algebra_i_pochatky_analizu_10klas_z_poglyblenym_vyvchennyam_matemetyky.pdf'>учебником</a> и <a href='https://dl.dropboxusercontent.com/u/26691654/Uchebniki/merzlyak_ta_in_vchimosya_rozv_yazuvati_zadachi_z_pochatkiv_analizu.djvu'>задачником</a> в электронном виде<br />в сборнике по началам анализа № 3.2(1-3), 3.4(1-3), 3.6(1-3)"
"Английский ";"SBP. 18-19 #1-6, prepare for a word quiz; WBP. 14-15"
