"<span class=thead>Предмет</span>";"<span class=thead>Задание на 26-30 мая</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";" Пока что ничего"
"Мировая литература";" Досдавать сочинение на тему :""""Вишневый сад""-реквием по уходящему дворянству"";Готовиться к КР"
"Мировая литература";" Досдавать сочинение на тему :""""Вишневый сад""-реквием по уходящему дворянству"";Готовиться к КР"
"Английский ";" WB p.19 ex.5 learn by hard"
"Алгебра ";" Учить конспект;Лесенки(Мерзляк,Полонский,Рабонович,Якир) с.90 №105(2,4,6,8,10)"
"Геометрия ";" "
"Физика ";" Повторять решение задач"
"Всемирная история";"Ничего не задано(была КР)"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинская литература";"Досдавать задолжности"
"Мировая литература";" "
"Физика ";" "
"История Украины";" Ничего не задано(была КР)"
"Информатика (1)";"Досдавать долги по C#"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";" "
"География ";" "
"Химия ";" "
"Физика ";" "
"Информатика (2)";"Досдавать долги по C#"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";" "
"Защита Отечества";" "
"Украинская литература";" "
"Украинский ";" "
"Биология ";" "
"Физика ";" "
"Инф.технологии ";"Досдавать долги по JavaScript"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";" "
"Экономика ";" "
"Биология ";" "
"Худ.культура ";" "
"Алгебра ";" "
"Английский ";"  "
