"<span class=thead>Предмет</span>";"<span class=thead>Задание на 6-10 апреля 2015</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физика ";"Гельфгат-11 №11.9-11.12"
"Экология ";"читать конспект"
"Укр. лит.";"сдавать стихи"
"Химия ";" §28 №245,249,251"
"Алгебра ";"п.29 №12,15,19,п.30 №1-6,подготовиться к самостоятельной работе,решить уравнение PI/24*(6x+1)=1/2arctg1+arccos(-1/2)-arcsin((2^0.5)/2)"
"Геометрия ";"по учебнику №700,685,698"
"Русский язык";"вместо русского будем писать ""Левеня"""
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Человек и мир";"выписать производительные силы и производственные отношения, готовиться к контрольной работе (социум, социальная мобильность, теория социальной стратификации, политические режимы)"
"Всемирная История";"конспектировать японское экономическое чудо"
"Физкультура ";"не задано"
"Химия ";"§29,30, учить формулы моносахаридов (глюкоза, фруктоза, рибоза, дезоксирибоза), дисахаридов (сахароза, мальтоза, галактоза) и полисахаридов (крахмал, целлюлоза)"
"Английский ";"WB p.74-75"
"Мир.лит. ";"читать Камю ""Посторонний"""
"Физика ";"конспект; Гельфгат № 11.13-11.15, 14.15, 14.16"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"читать конспект"
"История Украины";"готовиться к контрольной по теме ""Перестройка"""
"Алгебра ";"учебник №30.13, 30.15, 30.17, 30.20, 32.7, 32.9"
"Информатика ";"не будет"
"Инф. технологии";"начинать работу с Access, сделать 3 и 4 презентации"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" п.30 №25,27,29,п.32 №8,11"
"Биология ";" читать конспект"
"Украинский язык";" написати статтю"
"Геометрия ";" Подготовиться к самостоятельной работе;№723,733 по учебнику"
"Физический практикум";" готовиться к сдаче работ"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Алгебра ";" "
"Художественная культура";" "
"Основы экономики";" "
"Укр.лит. ";" "
"Защита Отечества";" "
"Физика ";" "
"Английский ";" "
