"<span class=thead>Предмет</span>";"<span class=thead>Задание на 5-8 мая 2015</span>"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Человек и мир";" выписать этнос,этногенез,нация,этноконфессиональная общность"
"Всемирная История";" читать §25"
"Физкультура ";" не задано"
"Химия ";"290(б,в), 294, 295 "
"Английский ";" WB p.80-81"
"Мир.лит. ";"читать ""Сто лет одиночества"",подготовиться к контрольной работе"
"Физика ";"Сборник ДПА Раздел 17 №д1,д2, д17, в11, в12,в19,подготовиться к контрольной работе "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";" читать конспект"
"История Украины";" читать конспект"
"Алгебра ";" п.34 №2,4"
"Геометрия ";" делать дср"
"Инф. технологии";" сделать 7 и 8 презентации"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Украинский язык";" "
"Геометрия ";" "
"Физический практикум";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Алгебра ";" "
"Художественная культура";" "
"Основы экономики";" "
"Укр.лит. ";" "
"Защита Отечества";" "
"Физика ";" "
"Английский ";" "
