"<span class=thead>Предмет</span>";"<span class=thead>Задание на </span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";"покамест не грозит нам"
"Русский ";"готовиться к писанию сочинения по теме ""Семья и воспитание""<br />по желанию можно переписать первое сочинение, тем самым исправив оценку"
"Химия ";""
"Английский ";"SBP. 13 #7 to dictionary; SBP.14 #7; SBP. 129 (miniworkbook); WBP. 10-11"
"Физика ";"конспект!!!<br />Гельфгат № 9.15, 9.17, 9.18; Рымкевич № 755-757 <i>(6 задач, все правильно)</i>"
"Алгебра ";"ДСР на двойных листиках<br />Мерзляк (""лесенки"") с. 107 № 225(3-6), 226(1,2)"
"Геометрия ";"<b>не будет</b>"
"Всемирная история";"сделать конспект по внешней политике фашистской Германии в 1933-1939 гг."
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Укр. яз.";"дописать диалоги, кто не сдал тетради на уроке"
"Мировая литература";"быть хоть немного в теме насчет ""Войны и мира"""
"Физика ";""
"История Украины";"сделать краткий конспект по культурной и политической жизни во время гетьманата Скоропадского"
"Информатика (1)";"как всегда"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра";""
"Геометрия ";"учебник № 396, 416, 427"
"География ";"готовить презентации далее по плану"
"Химия ";""
"Физика ";""
"Информатика (2)";"доделывать то, что не успеваете"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";""
"Защита Отечества";"не задано"
"Укр. лит.";"біографія О.Кобилянської, читати ""Земля"" (хоча б скорочено)"
"Биология ";"готовиться к диктанту по &sect 17,18,24,25"
"Физика ";""
"Инф.технологии ";"работать по учебнику"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";""
"Экономика";""
"Биология";""
"Худ.культура ";""
"Алгебра ";""
"Английский ";""
