"<span class=thead>Предмет</span>";"<span class=thead>Задание на 15-19 сентября 2014</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";" №8.8(1,2),8.9(1,2),8.12;подготовиться к ср по определениям"
"Геометрия ";" №256,257"
"Укр. лит.";" Конспектировать биографию Павла Тычины;выучить стих ""О панно,Інно"""
"Химия ";" Читать $3"
"Физика ";" конспект;Гончаренко $10,13;Рымкевич №411,414,418(1),420,425,427"
"Астрономия ";" Конспект"
"Русский ";" Учебник(Давидюк)с.84 слова в скобочках переделать в текст,выписать словосочетания,записать вид связи"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"История Украины";" Хронологическая таблица 1941-1942 год войны на территории Украины "
"Физкультура ";"как всегда"
"Мировая литература";" Законспектировать в тетрадь особенность композиции новеллы Кафки ""Превращение"";На листочках написать сочинение на тему:""Трагедия маленького человека в новелле Кафки ""Превращение"""""
"Физика ";" "
"Английский ";" WB p.24-25 SB p.111"
"Химия ";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"§ 1-4;подготовиться к диктанту; до конца сентября сдать рефераты ""Беременность человека по неделям"" (расписать, что когда развивается у эмбриона и какие соотв. риски на каждом этапе) и ""Десять именных болезней"" (из них не менее 4 генетических, суть и причины каждой), объем - не более 4 страниц каждый"
"Всемирная история";" Хронологическая таблица 1941-1942 год войны"
"Алгебра ";" "
"Инф. технологии";" "
"Информатика ";" писать программы далее по плану"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Укр. язык";" "
"Геометрия ";" "
"Физический практикум";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";" "
"Укр. лит.";" "
"Защита Отечества";" "
"Английский ";" "
