"<span class=thead>Предмет</span>";"<span class=thead>Задание на 7-11 октября</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум	 ";"--- "
"Право	 ";"пар/ 3  "
"Химия	 ";"Хомченко № 9.21, 9.25 "
"Английский	 ";"   "
"Физика	 ";"Мякишев пар. 23, Рымкевич №615-617,619,620"
"Алгебра	 ";"Мерзляк (""Лесенки"") КР №2 с. 108  "
"Геометрия	 ";"Мерзляк (""лесенки"") с. 71 № 46, 50, 100, 107, 112"
"Русский	 ";"не задано  "
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинский	 ";"упр. 23, 57; с. 40-41 ответить на вопросы устно"
"Мировая литература	";"Стендаль, читать ""Красное и черное"", делать работы, кому надо"
"Физика	 ";"   "
"История Украины	";"судя по всему, сверхсекретная информация"
"Всемирная история	";"см. выше. Кто хочет опровергнуть сие утверждение - пишите админам лично."
"Информатика (1)	";"формально ничего"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра	 ";"      "
"География	 ";"      "
"Химия	 ";"      "
"Физика	 ";"      "
"Информатика (2)	";"формально ничего (тем, кто успевает)"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия	 ";"      "
"Допризывная подг. юношей";"снова-таки усваивать конспект"
"Воен.-мед. подготовка";"то же"
"Укр. лит.";"      "
"Биология	 ";"      "
"Физика	 ";"      "
"Инф.технологии	 ";"формально ничего"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра	 ";"формально ничего"
"Биология	 ";"      "
"Экономика	 ";"      "
"География	 ";"      "
"Алгебра	 ";"      "
"Английский	 ";"      "
