"<span class=thead>Предмет</span>";"<span class=thead>Задание на 10-14 ноября 2014</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";"сделать дср"
"Геометрия ";" "
"Укр. лит.";"на листочках написать развернутые ответы на 1 вопрос по каждому из писателей(3 вопроса):<ol><li>Як ви ставитесь до трагічного вибору Миколи Хвильового — закінчити життя самогубством?</li><li>Яка роль у новелі ""Я (Романтика)"" образів Андрюші, доктора Тагабата, дегенерата? Чи можна їх вважати складовими частинами ""Я"" головного героя?</li><li>Трагедія роду Половців і трагедія України (за романом Юрія Яновського ""Вершники"").</li><li>Тема громадянської війни у романі Юрія Яновського ""Вершники"".</li><li>Мої роздуми про новелістику Григорія Косинки.</li><li>Наскрізний пафос життєствердження у новелі Григорія Косинки ""В житах"".</li></ol>"
"Химия ";" "
"Физика ";" "
"Астрономия ";"конспект "
"Русский ";"Упражнение №104 (списать, вставить знаки препинания)"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Алгебра ";" "
"Геометрия ";" "
"Мировая литература";" "
"Физика ";" "
"Английский ";" "
"Химия ";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";" "
"Физика ";" "
"Алгебра ";" "
"Инф. технологии";"не будет"
"Информатика ";"делать программы далее по плану"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";"До конца ноября сдать реферат на тему:""Центры происхождения культурных растений и животных""(5 растений,2 животных)"
"Укр. язык";" "
"Геометрия ";" "
"Физический практикум";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";" "
"Укр. лит.";" "
"Защита Отечества";"не задано"
"Английский ";" "
