"<span class=thead>Предмет</span>";"<span class=thead>Задание на 20-24 января</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";"не будет покамест"
"Русский ";"готовить материалы к теме"
"Химия ";"&sect 4,5, № 45-52"
"Английский ";"SBp 6 выучить первые 2 абзаца и повторить грамматику"
"Физика ";"конспект, Мякишев &sect 37-40;<br />Рымкевич №694, 697, 698, Гельфгат №7.28, 7.31"
"Алгебра ";"законспектировать решение tg x=a и ctg x=а(уч. с.336)<br />с.340 № 2-4"
"Геометрия ";"усвоить док-во признака перпендикулярности прямой и плоскости;<br />учебник № 305, 324, 326"
"История Украины";"не задано, ибо еще не было"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Укр. яз.";"впр. 125-127"
"Мировая литература";"читать ""Анну Каренину"" (а также очень желательно ""Войну и мир"")"
"Физика ";" "
"История Украины";" "
"Всемирная история";"не задано, ибо еще не было"
"Информатика (1)";"это уже ваше личное дело"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Геометрия ";" "
"География ";" "
"Химия ";" "
"Физика ";" "
"Информатика (2)";"Internet is NYPA"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";" "
"Укр. лит.";" "
"Укр.яз. ";" "
"Биология ";"учебник. с.142, зарисовать схему/рисунок  и описание к нему;<br />с.145 - зарисовать схему/рисунок;<br />конспект фаз митоза."
"Алгебра ";" "
"Физика ";" "
"Инф.технологии ";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";"     "
"Биология ";"     "
"Экономика ";"законспектировать полную классификацию потребностей (ГуглЪ в помощь)"
"География ";"    "
"Алгебра ";"     "
"Английский ";"     "
