"<span class=thead>Предмет</span>";"<span class=thead>Задание на 17-21 ноября 2014</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";"сделать ДСР"
"Геометрия ";"конспектировать в учебнике с. 143 (таблица с рисунками), по учебнику № 446а, 447а"
"Укр. лит.";"законспектувати біографію Остапа Вишні"
"Химия ";"дописать цепочку химических превращений"
"Физика ";"конспект; Гончаренко §32-35; Гельфгат-11 №2.1-2.5, 2.8"
"Астрономия ";"конспект "
"Русский ";"Упражнение №104 (списать, вставить знаки препинания)"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"История Украины";" Внутрепартийная борьба после смерти Сталина конспектировать"
"Мировая литература";" история и хар-ка понтия пилата по библии и ""М и М"""
"Физика ";" гельфгат 2.18-2.20, 2.24, 2.27"
"Английский ";"WB p.42-43,p.44-45,SB p.42-43"
"Химия ";" почитать с.31-32, параграф 11(до 82) №90-93 +реакции алкинов с бромом, бромоводородом и водородом(?)"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";" В рабочих тетрадях с.2-26,Лабораторные работы с.1-6"
"Всемирная история";" Конспектировать Кеннеди-""Новые рубежи"",Карибский кризис,Рейганомика"
"Алгебра ";" №19.14,19.16,19.22(нечетные),20.25(1,3,5)"
"Инф. технологии";"не будет"
"Информатика ";"делать программы далее по плану"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";"До конца ноября сдать реферат по теме: ""Центры происхождения культурных растений и животных"" (5 растений, 2 животных)"
"Укр. язык";" "
"Геометрия ";" "
"Физический практикум";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";" "
"Укр. лит.";" "
"Защита Отечества";"не задано"
"Английский ";" "
