"<span class=thead>Предмет</span>";"<span class=thead>Задание на 13-17 октября 2014</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";"домашняя самостоятельная работа (<a href=""https://dl.dropboxusercontent.com/u/26691654/ForDz/DSR_Algebra_na20141013.jpg"">задание см. тут</a>)"
"Геометрия ";"Литвиненко №415(а),368(а),408(а)"
"Укр. лит.";"Прочитати М.Хвильовий ""Я(Романтика)"""
"Химия ";"Хомченко №16.8, 16.24, 16.25, 16.12"
"Физика ";"Савченко № 3.5.20(а,б), 3.5.21(а,б)"
"Астрономия ";"конспект "
"Русский ";"№186, 194 (подчеркнуть грамматическую основу, определить тип предложения, если оно односоставное)"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"История Украины";"подготовиться к контрольной работе"
"Мировая литература";"готовить презентации, кому они были заданы"
"Физика ";"конспект; Гончаренко § 15-18; Гельфгат №1.24, Рымкевич №428, Савченко №3.5.5, 3.5.37"
"Английский ";"SB p.35, WB p.34, WB p.30 текст выучить"
"Химия ";"подготовиться к лабораторной работе (учебник с. 55); Березан №23.10"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"§ 7-9 читать, по этим параграфам готовиться к диктанту; с. 50 зарисовать табл. №9"
"Всемирная история";"Берлинская (Потсдамская) конференция конспектировать"
"Алгебра ";"№13.21, 14.6, 14.10, 14.12, 14.14"
"Инф. технологии";"не будет"
"Информатика ";"готовиться к контрольной работе"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" Задача,записаная в классе"
"Алгебра ";" №13.19,14.11,15.1(7)"
"Биология ";" § 7-9 читать, по этим параграфам готовиться к диктанту; с. 50 зарисовать табл. №9"
"Укр. язык";"Упр.51 "
"Геометрия ";"Литвиненко № 399а, 259б, 414а; готовиться к контрольной работе по призмам"
"Физический практикум";"готовиться к сдаче лабораторных работ"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";"конспект "
"Укр. лит.";"Прочитати М.Хвильовий ""Я(Романтика)"""
"Защита Отечества";"не задано"
"Английский ";" SB p.35,WB p.34-35"
